column,gain
ecal_backward_E,114879.58281326294
e_over_p_backward,12353.336361408234
log_e_over_p_backward,8306.62456470728
e_hcal_backward,1900.5727337673306
proj_pathlength,1769.391308305785
ecal_backward_delta_r,1464.418974623084
chi2_per_ndf,1090.4892991185188
ecal_backward_n,1078.0090864561498
hcal_backward_delta_r,1054.062233246863
ecal_backward_shape_1,1050.7185780107975
hcal_backward_t,945.5026280283928
chi2,748.5827951431274
ecal_backward_shape_3,721.9979467391968
ecal_backward_shape_4,650.5506491661072
ecal_backward_shape_2,515.0044028759003
ndf,421.2640962302685
hcal_backward_n,386.4523180425167
ecal_backward_shape_0,348.4114140868187
ecal_backward_shape_5,322.1141908764839
ecal_backward_shape_6,162.46188390254974
ecal_backward_t,155.90354695916176
leakage_backward,129.481510668993
e_over_p_forward,0.0
drich_gas_pathlength,0.0
drich_aerogel_pathlength,0.0
e_hcal_forward,0.0
ecal_backward_has_shape,0.0
ecal_forward_E,0.0
ecal_forward_shape_4,0.0
ecal_forward_delta_r,0.0
ecal_forward_has_shape,0.0
ecal_forward_n,0.0
ecal_forward_shape_0,0.0
ecal_forward_shape_1,0.0
ecal_forward_shape_2,0.0
ecal_forward_shape_3,0.0
has_ecal_forward,0.0
has_ecal_backward,0.0
has_drich_gas,0.0
has_drich_aerogel,0.0
ecal_forward_t,0.0
ecal_forward_shape_6,0.0
ecal_forward_shape_5,0.0
has_hcal_backward,0.0
hcal_forward_delta_r,0.0
hcal_forward_E,0.0
has_hcal_forward,0.0
hcal_backward_E,0.0
leakage_forward,0.0
hcal_forward_t,0.0
hcal_forward_n,0.0
log_e_over_p_forward,0.0
