column,gain
ecal_backward_E,249.19859313964844
e_over_p_backward,21.261423110961914
log_e_over_p_backward,12.576754570007324
ecal_backward_shape_3,5.203390598297119
ecal_backward_shape_2,4.945064067840576
ecal_backward_t,4.466286659240723
ndf,4.403895854949951
chi2_per_ndf,4.242462158203125
proj_pathlength,4.15256929397583
e_hcal_backward,4.100823402404785
ecal_backward_delta_r,4.052124977111816
ecal_backward_n,4.026298522949219
ecal_backward_shape_4,3.775028705596924
ecal_backward_shape_1,3.4798362255096436
hcal_backward_t,2.9678304195404053
ecal_backward_shape_5,2.8395273685455322
hcal_backward_delta_r,2.7928895950317383
chi2,2.687523126602173
ecal_backward_shape_0,2.4741604328155518
hcal_backward_n,2.039536952972412
ecal_backward_shape_6,1.9480750560760498
leakage_backward,1.5878325700759888
e_over_p_forward,0.0
drich_gas_pathlength,0.0
drich_aerogel_pathlength,0.0
e_hcal_forward,0.0
ecal_backward_has_shape,0.0
ecal_forward_E,0.0
ecal_forward_shape_4,0.0
ecal_forward_delta_r,0.0
ecal_forward_has_shape,0.0
ecal_forward_n,0.0
ecal_forward_shape_0,0.0
ecal_forward_shape_1,0.0
ecal_forward_shape_2,0.0
ecal_forward_shape_3,0.0
has_ecal_forward,0.0
has_ecal_backward,0.0
has_drich_gas,0.0
has_drich_aerogel,0.0
ecal_forward_t,0.0
ecal_forward_shape_6,0.0
ecal_forward_shape_5,0.0
has_hcal_backward,0.0
hcal_forward_delta_r,0.0
hcal_forward_E,0.0
has_hcal_forward,0.0
hcal_backward_E,0.0
leakage_forward,0.0
hcal_forward_t,0.0
hcal_forward_n,0.0
log_e_over_p_forward,0.0
