column,gain
ecal_backward_E,1038.888671875
log_e_over_p_backward,99.58113861083984
e_over_p_backward,33.0097541809082
hcal_backward_t,27.332801818847656
ecal_backward_shape_3,19.091814041137695
ecal_backward_delta_r,16.740633010864258
ecal_backward_n,15.807851791381836
e_hcal_backward,15.771452903747559
ecal_backward_shape_1,14.759263038635254
proj_pathlength,10.714635848999023
ecal_backward_shape_2,9.193720817565918
hcal_backward_n,8.331298828125
leakage_backward,7.301519870758057
hcal_backward_E,6.863717079162598
ecal_backward_t,5.844388484954834
hcal_backward_delta_r,5.556155681610107
ecal_backward_shape_0,5.371919631958008
ndf,4.920351028442383
ecal_backward_shape_5,4.5224409103393555
chi2,3.966367483139038
ecal_backward_shape_4,3.9453721046447754
chi2_per_ndf,3.770204782485962
ecal_backward_shape_6,2.9168736934661865
e_over_p_forward,0.0
drich_aerogel_pathlength,0.0
e_hcal_forward,0.0
ecal_backward_has_shape,0.0
drich_gas_pathlength,0.0
ecal_forward_E,0.0
ecal_forward_delta_r,0.0
ecal_forward_has_shape,0.0
ecal_forward_n,0.0
ecal_forward_shape_0,0.0
ecal_forward_shape_1,0.0
ecal_forward_shape_2,0.0
ecal_forward_shape_3,0.0
has_ecal_forward,0.0
has_ecal_backward,0.0
has_drich_gas,0.0
has_drich_aerogel,0.0
ecal_forward_t,0.0
ecal_forward_shape_6,0.0
ecal_forward_shape_5,0.0
ecal_forward_shape_4,0.0
hcal_forward_delta_r,0.0
hcal_forward_E,0.0
has_hcal_forward,0.0
has_hcal_backward,0.0
leakage_forward,0.0
hcal_forward_t,0.0
hcal_forward_n,0.0
log_e_over_p_forward,0.0
