column,gain
ecal_backward_E,194083.98890441656
e_over_p_backward,13377.406622558832
log_e_over_p_backward,13288.51022091508
ecal_backward_n,4976.824685275555
e_hcal_backward,3382.2779475450516
ecal_backward_delta_r,2224.1006098091602
proj_pathlength,2135.314435392618
chi2_per_ndf,1662.4908154010773
hcal_backward_delta_r,1362.8227866888046
chi2,1297.2182565033436
hcal_backward_t,1087.676321387291
ecal_backward_shape_2,816.2219484448433
ndf,516.8096882104874
ecal_backward_shape_1,481.20005518198013
hcal_backward_n,462.2183945775032
ecal_backward_shape_0,430.34265384078026
ecal_backward_shape_3,358.10005247592926
ecal_backward_shape_4,355.39982053637505
ecal_backward_shape_6,347.30156844854355
ecal_backward_t,292.8879899382591
ecal_backward_shape_5,232.5210016965866
leakage_backward,164.17463821172714
e_over_p_forward,0.0
drich_gas_pathlength,0.0
drich_aerogel_pathlength,0.0
e_hcal_forward,0.0
ecal_backward_has_shape,0.0
ecal_forward_E,0.0
ecal_forward_shape_4,0.0
ecal_forward_delta_r,0.0
ecal_forward_has_shape,0.0
ecal_forward_n,0.0
ecal_forward_shape_0,0.0
ecal_forward_shape_1,0.0
ecal_forward_shape_2,0.0
ecal_forward_shape_3,0.0
has_ecal_forward,0.0
has_ecal_backward,0.0
has_drich_gas,0.0
has_drich_aerogel,0.0
ecal_forward_t,0.0
ecal_forward_shape_6,0.0
ecal_forward_shape_5,0.0
has_hcal_backward,0.0
hcal_forward_delta_r,0.0
hcal_forward_E,0.0
has_hcal_forward,0.0
hcal_backward_E,0.0
leakage_forward,0.0
hcal_forward_t,0.0
hcal_forward_n,0.0
log_e_over_p_forward,0.0
