column,gain
ecal_backward_E,1600281.1726948023
log_e_over_p_backward,549760.8948571086
e_over_p_backward,288503.0035548806
hcal_backward_t,43272.03147614002
ecal_backward_delta_r,37614.22157251835
ecal_backward_n,37287.382377147675
e_hcal_backward,35051.79041993618
proj_pathlength,27874.863871395588
ecal_backward_shape_1,16498.26282453537
ecal_backward_shape_0,11344.950503587723
ecal_backward_shape_3,8657.754441738129
hcal_backward_delta_r,8276.819650530815
hcal_backward_E,8187.707978248596
hcal_backward_n,6324.437201023102
ecal_backward_shape_2,5757.002511203289
chi2_per_ndf,3517.8318142294884
chi2,3514.7467495799065
leakage_backward,2908.9522562026978
ecal_backward_shape_5,2317.507549405098
ecal_backward_shape_4,2236.934520125389
ndf,1727.7254768013954
ecal_backward_t,1569.1229685544968
ecal_backward_shape_6,1051.9078363776207
e_over_p_forward,0.0
drich_aerogel_pathlength,0.0
e_hcal_forward,0.0
ecal_backward_has_shape,0.0
drich_gas_pathlength,0.0
ecal_forward_E,0.0
ecal_forward_delta_r,0.0
ecal_forward_has_shape,0.0
ecal_forward_n,0.0
ecal_forward_shape_0,0.0
ecal_forward_shape_1,0.0
ecal_forward_shape_2,0.0
ecal_forward_shape_3,0.0
has_ecal_forward,0.0
has_ecal_backward,0.0
has_drich_gas,0.0
has_drich_aerogel,0.0
ecal_forward_t,0.0
ecal_forward_shape_6,0.0
ecal_forward_shape_5,0.0
ecal_forward_shape_4,0.0
hcal_forward_delta_r,0.0
hcal_forward_E,0.0
has_hcal_forward,0.0
has_hcal_backward,0.0
leakage_forward,0.0
hcal_forward_t,0.0
hcal_forward_n,0.0
log_e_over_p_forward,0.0
