column,gain
ecal_backward_E,247.0038299560547
log_e_over_p_backward,80.01741027832031
e_over_p_backward,30.27353858947754
ecal_backward_shape_2,5.683958530426025
chi2_per_ndf,4.75099515914917
e_hcal_backward,4.43838357925415
proj_pathlength,4.071473598480225
ecal_backward_shape_3,3.9071898460388184
ecal_backward_n,3.7943332195281982
ndf,3.602146625518799
ecal_backward_t,3.515730857849121
hcal_backward_delta_r,3.3714871406555176
ecal_backward_shape_1,3.3034629821777344
hcal_backward_t,3.267301082611084
ecal_backward_shape_4,3.124091625213623
hcal_backward_n,2.9591362476348877
ecal_backward_delta_r,2.9533679485321045
chi2,2.7504796981811523
ecal_backward_shape_0,2.352794647216797
ecal_backward_shape_6,1.9084341526031494
leakage_backward,1.7874760627746582
ecal_backward_shape_5,1.646714687347412
e_over_p_forward,0.0
drich_gas_pathlength,0.0
drich_aerogel_pathlength,0.0
e_hcal_forward,0.0
ecal_backward_has_shape,0.0
ecal_forward_E,0.0
ecal_forward_shape_4,0.0
ecal_forward_delta_r,0.0
ecal_forward_has_shape,0.0
ecal_forward_n,0.0
ecal_forward_shape_0,0.0
ecal_forward_shape_1,0.0
ecal_forward_shape_2,0.0
ecal_forward_shape_3,0.0
has_ecal_forward,0.0
has_ecal_backward,0.0
has_drich_gas,0.0
has_drich_aerogel,0.0
ecal_forward_t,0.0
ecal_forward_shape_6,0.0
ecal_forward_shape_5,0.0
has_hcal_backward,0.0
hcal_forward_delta_r,0.0
hcal_forward_E,0.0
has_hcal_forward,0.0
hcal_backward_E,0.0
leakage_forward,0.0
hcal_forward_t,0.0
hcal_forward_n,0.0
log_e_over_p_forward,0.0
