column,gain
ecal_backward_E,1611.421875
e_over_p_backward,205.0247802734375
log_e_over_p_backward,83.26141357421875
hcal_backward_t,53.24546813964844
ecal_backward_delta_r,42.505332946777344
ecal_backward_shape_1,32.40485763549805
e_hcal_backward,29.892362594604492
ecal_backward_n,27.714588165283203
hcal_backward_E,18.874265670776367
proj_pathlength,16.55731773376465
ecal_backward_shape_0,15.635930061340332
ecal_backward_shape_3,13.754026412963867
hcal_backward_n,11.154540061950684
ecal_backward_shape_2,10.300037384033203
leakage_backward,9.289175987243652
hcal_backward_delta_r,7.807291030883789
ecal_backward_t,7.5223002433776855
ecal_backward_shape_4,6.6986985206604
ecal_backward_shape_5,6.628724098205566
chi2,5.810475826263428
ndf,5.662607192993164
chi2_per_ndf,5.421091079711914
ecal_backward_shape_6,5.19381856918335
e_over_p_forward,0.0
drich_aerogel_pathlength,0.0
e_hcal_forward,0.0
ecal_backward_has_shape,0.0
drich_gas_pathlength,0.0
ecal_forward_E,0.0
ecal_forward_delta_r,0.0
ecal_forward_has_shape,0.0
ecal_forward_n,0.0
ecal_forward_shape_0,0.0
ecal_forward_shape_1,0.0
ecal_forward_shape_2,0.0
ecal_forward_shape_3,0.0
has_ecal_forward,0.0
has_ecal_backward,0.0
has_drich_gas,0.0
has_drich_aerogel,0.0
ecal_forward_t,0.0
ecal_forward_shape_6,0.0
ecal_forward_shape_5,0.0
ecal_forward_shape_4,0.0
hcal_forward_delta_r,0.0
hcal_forward_E,0.0
has_hcal_forward,0.0
has_hcal_backward,0.0
leakage_forward,0.0
hcal_forward_t,0.0
hcal_forward_n,0.0
log_e_over_p_forward,0.0
