column,gain
e_over_p_forward,4560.129674270749
ecal_forward_E,4447.861741520464
ecal_forward_delta_r,4100.451210916042
proj_pathlength,3667.7734881192446
chi2_per_ndf,3286.688369460404
e_hcal_forward,2794.1951309740543
chi2,2631.7124831676483
drich_aerogel_pathlength,2576.955971889198
hcal_forward_delta_r,2403.644687756896
ecal_forward_shape_6,2194.25509172678
leakage_forward,1982.0719445943832
hcal_forward_n,1759.9558999836445
ecal_forward_shape_3,1751.1936119049788
drich_gas_pathlength,1548.5101472437382
ecal_forward_shape_2,1290.3172527849674
ecal_forward_shape_4,1282.2402419745922
hcal_forward_t,1053.3839578181505
ecal_forward_shape_5,1023.0962416231632
ndf,991.0264423936605
ecal_forward_shape_1,971.0276712030172
ecal_forward_t,815.8251234814525
ecal_forward_shape_0,813.0039745271206
log_e_over_p_forward,722.0436496734619
ecal_forward_n,477.8039181828499
has_hcal_forward,5.483590126037598
ecal_forward_has_shape,3.218050003051758
ecal_backward_shape_3,0.0
ecal_backward_shape_2,0.0
ecal_backward_n,0.0
ecal_backward_has_shape,0.0
ecal_backward_delta_r,0.0
ecal_backward_E,0.0
e_over_p_backward,0.0
e_hcal_backward,0.0
ecal_backward_shape_1,0.0
ecal_backward_shape_0,0.0
ecal_backward_t,0.0
ecal_backward_shape_6,0.0
ecal_backward_shape_5,0.0
ecal_backward_shape_4,0.0
has_ecal_forward,0.0
has_ecal_backward,0.0
has_drich_gas,0.0
has_drich_aerogel,0.0
hcal_forward_E,0.0
hcal_backward_t,0.0
hcal_backward_n,0.0
hcal_backward_delta_r,0.0
has_hcal_backward,0.0
hcal_backward_E,0.0
leakage_backward,0.0
log_e_over_p_backward,0.0
