| relation                                        | family       |    n | cids                             | resolves_to                                                                    |   index_min |   index_max | usable   | optional   | status                                                                                                                                                                                                                                           |
|:------------------------------------------------|:-------------|-----:|:---------------------------------|:-------------------------------------------------------------------------------|------------:|------------:|:---------|:-----------|:-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| _EcalEndcapNTrackClusterMatches_track           | calorimeter  |   47 | 530999115                        | CentralCKFTracks                                                               |           0 |           8 | True     | False      | resolves to 'CentralCKFTracks'                                                                                                                                                                                                                   |
| _EcalEndcapNTrackClusterMatches_cluster         | calorimeter  |   47 | 2005297276                       | EcalEndcapNClusters                                                            |           0 |           6 | True     | False      | resolves to 'EcalEndcapNClusters'                                                                                                                                                                                                                |
| _EcalEndcapPTrackClusterMatches_track           | calorimeter  |   73 | 530999115                        | CentralCKFTracks                                                               |           0 |          13 | True     | False      | resolves to 'CentralCKFTracks'                                                                                                                                                                                                                   |
| _EcalEndcapPTrackClusterMatches_cluster         | calorimeter  |   73 | 2822405817                       | EcalEndcapPClusters                                                            |           0 |          19 | True     | False      | resolves to 'EcalEndcapPClusters'                                                                                                                                                                                                                |
| _HcalEndcapNTrackClusterMatches_track           | calorimeter  |   43 | 530999115                        | CentralCKFTracks                                                               |           0 |          11 | True     | False      | resolves to 'CentralCKFTracks'                                                                                                                                                                                                                   |
| _LFHCALTrackClusterMatches_track                | calorimeter  |   47 | 530999115                        | CentralCKFTracks                                                               |           0 |          10 | True     | False      | resolves to 'CentralCKFTracks'                                                                                                                                                                                                                   |
| _CalorimeterTrackProjections_track              | projection   |  265 | 530999115                        | CentralCKFTracks                                                               |           0 |          15 | True     | False      | resolves to 'CentralCKFTracks'                                                                                                                                                                                                                   |
| _DRICHGasTracks_track                           | cherenkov    |  140 | 530999115                        | CentralCKFTracks                                                               |           0 |          15 | True     | False      | resolves to 'CentralCKFTracks'                                                                                                                                                                                                                   |
| _DRICHAerogelTracks_track                       | cherenkov    |  140 | 530999115                        | CentralCKFTracks                                                               |           0 |          15 | True     | False      | resolves to 'CentralCKFTracks'                                                                                                                                                                                                                   |
| _CentralCKFTracks_measurements                  | ionisation   | 1647 | 1931940665,2241842483,2647615878 | TOFBarrelClusterHits+TOFEndcapClusterHits+CentralWithoutTOFTrackerMeasurements |           0 |        6922 | False    | True       | resolves to 'TOFBarrelClusterHits+TOFEndcapClusterHits+CentralWithoutTOFTrackerMeasurements', expected ('CentralTrackerMeasurements', 'CentralWithoutTOFTrackerMeasurements') [optional family: unavailable in this campaign, feature stays off] |
| _ReconstructedChargedRealPIDParticles_tracks    | baseline     |  265 | 530999115                        | CentralCKFTracks                                                               |           0 |          15 | True     | False      | resolves to 'CentralCKFTracks'                                                                                                                                                                                                                   |
| _DIRCParticleIDs_particle                       | producer_pid |  132 | 0                                | nan                                                                            |          -2 |          -2 | False    | False      | dangling: collectionID(s) [0] are not in this file's collection registry [expected broken: recorded in pid.schema.DEAD_LINKS]                                                                                                                    |
| _CombinedTOFParticleIDs_particle                | producer_pid |  496 | 0                                | nan                                                                            |          -2 |          -2 | False    | False      | dangling: collectionID(s) [0] are not in this file's collection registry [expected broken: recorded in pid.schema.DEAD_LINKS]                                                                                                                    |
| _DRICHGasIrtCherenkovParticleID_chargedParticle | cherenkov    |  140 | 1290518152                       | nan                                                                            |           0 |          12 | False    | False      | dangling: collectionID(s) [1290518152] are not in this file's collection registry [expected broken: recorded in pid.schema.DEAD_LINKS]                                                                                                           |
