| relation                                        | family       |    n |       cids | resolves_to                |   index_min |   index_max | usable   | status                                                                                                                                 |
|:------------------------------------------------|:-------------|-----:|-----------:|:---------------------------|------------:|------------:|:---------|:---------------------------------------------------------------------------------------------------------------------------------------|
| _EcalEndcapNTrackClusterMatches_track           | calorimeter  |   51 |  530999115 | CentralCKFTracks           |           0 |           5 | True     | resolves to 'CentralCKFTracks'                                                                                                         |
| _EcalEndcapNTrackClusterMatches_cluster         | calorimeter  |   51 | 2005297276 | EcalEndcapNClusters        |           0 |           2 | True     | resolves to 'EcalEndcapNClusters'                                                                                                      |
| _EcalEndcapPTrackClusterMatches_track           | calorimeter  |   55 |  530999115 | CentralCKFTracks           |           0 |           6 | True     | resolves to 'CentralCKFTracks'                                                                                                         |
| _EcalEndcapPTrackClusterMatches_cluster         | calorimeter  |   55 | 2822405817 | EcalEndcapPClusters        |           0 |          10 | True     | resolves to 'EcalEndcapPClusters'                                                                                                      |
| _HcalEndcapNTrackClusterMatches_track           | calorimeter  |   42 |  530999115 | CentralCKFTracks           |           0 |           5 | True     | resolves to 'CentralCKFTracks'                                                                                                         |
| _LFHCALTrackClusterMatches_track                | calorimeter  |   52 |  530999115 | CentralCKFTracks           |           0 |           8 | True     | resolves to 'CentralCKFTracks'                                                                                                         |
| _CalorimeterTrackProjections_track              | projection   |  211 |  530999115 | CentralCKFTracks           |           0 |           9 | True     | resolves to 'CentralCKFTracks'                                                                                                         |
| _DRICHGasTracks_track                           | cherenkov    |   95 |  530999115 | CentralCKFTracks           |           0 |           9 | True     | resolves to 'CentralCKFTracks'                                                                                                         |
| _DRICHAerogelTracks_track                       | cherenkov    |   95 |  530999115 | CentralCKFTracks           |           0 |           9 | True     | resolves to 'CentralCKFTracks'                                                                                                         |
| _CentralCKFTracks_measurements                  | ionisation   | 1386 | 2656521774 | CentralTrackerMeasurements |           0 |         203 | True     | resolves to 'CentralTrackerMeasurements'                                                                                               |
| _ReconstructedChargedRealPIDParticles_tracks    | baseline     |  211 |  530999115 | CentralCKFTracks           |           0 |           9 | True     | resolves to 'CentralCKFTracks'                                                                                                         |
| _DIRCParticleIDs_particle                       | producer_pid |  156 |          0 | nan                        |          -2 |          -2 | False    | dangling: collectionID(s) [0] are not in this file's collection registry [expected broken: recorded in pid.schema.DEAD_LINKS]          |
| _CombinedTOFParticleIDs_particle                | producer_pid |  508 |          0 | nan                        |          -2 |          -2 | False    | dangling: collectionID(s) [0] are not in this file's collection registry [expected broken: recorded in pid.schema.DEAD_LINKS]          |
| _DRICHGasIrtCherenkovParticleID_chargedParticle | cherenkov    |   95 | 1290518152 | nan                        |           0 |           4 | False    | dangling: collectionID(s) [1290518152] are not in this file's collection registry [expected broken: recorded in pid.schema.DEAD_LINKS] |
